Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA
Date,Adj Close,Close,High,Low,Open,Volume
23/08/2021,21.88230896,21.95800018,21.99699974,20.95000076,20.97100067,575807000
24/08/2021,21.71788216,21.79299927,21.95899963,21.53499985,21.75300026,297299000
25/08/2021,22.13642883,22.21299934,22.46999931,21.72200012,21.73699951,347701000
26/08/2021,21.99193001,22.06800079,22.34000015,21.79000092,22.20000076,237940000
27/08/2021,22.55797195,22.63599968,22.72200012,22.16699982,22.18400002,304722000
30/08/2021,22.60979843,22.68799973,23.04299927,22.5510006,22.82999992,262580000
31/08/2021,22.31177139,22.38500023,22.69499969,22.12000084,22.69499969,259850000
01/09/2021,22.36758995,22.44099998,22.6970005,22.35700035,22.48500061,201767000
02/09/2021,22.32274055,22.39599991,22.59300041,22.29500008,22.51799965,187834000
03/09/2021,22.7682724,22.84300041,22.98600006,22.20000076,22.32500076,280532000
07/09/2021,22.58787155,22.66200066,22.89900017,22.52199936,22.83300018,198107000
08/09/2021,22.26592445,22.3390007,22.61000061,21.97699928,22.51300049,254434000
09/09/2021,22.10445786,22.17700005,22.53800011,22.13100052,22.31200027,196856000
10/09/2021,22.40447044,22.47800064,22.62599945,22.27000046,22.34799957,248376000
13/09/2021,22.07953644,22.15200043,22.9640007,21.8579998,22.68400002,297500000
14/09/2021,22.16924286,22.24200058,22.40999985,22.08600044,22.27499962,199755000
15/09/2021,22.26791573,22.3409996,22.36700058,21.9659996,22.30900002,166538000
16/09/2021,22.16924286,22.24200058,22.27700043,21.92700005,22.18300056,156033000
17/09/2021,21.8283577,21.89999962,22.32099915,21.82999992,22.29999924,294503000
20/09/2021,21.04393578,21.11300087,21.43300056,20.66200066,21.14599991,349440000
21/09/2021,21.17649841,21.24600029,21.42499924,20.95000076,21.41699982,204688000
22/09/2021,21.86922073,21.94099998,21.95999908,21.19599915,21.36599922,268726000
23/09/2021,22.4084568,22.48200035,22.53499985,21.88999939,22.13999939,248555000
24/09/2021,22.00876617,22.08099937,22.14900017,21.86100006,22.06999969,217655000
27/09/2021,21.58914185,21.65999985,21.79899979,21.32500076,21.70999908,245215000
28/09/2021,20.63128662,20.6989994,21.41900063,20.65099907,21.2140007,343069000
29/09/2021,20.44988632,20.5170002,21.0170002,20.46699905,20.94000053,218394000
30/09/2021,20.64823341,20.7159996,21.06599998,20.68799973,20.76799965,221009000
01/10/2021,20.67415237,20.74200058,20.85899925,20.20299911,20.75,240978000
04/10/2021,19.66745377,19.73200035,20.54199982,19.55500031,20.50399971,345635000
05/10/2021,20.38410187,20.45100021,20.64800072,19.85400009,19.95000076,279282000
06/10/2021,20.63228416,20.70000076,20.71999931,20.07999992,20.12000084,297202000
07/10/2021,21.00605774,21.07500076,21.3220005,20.97200012,21.09199905,256919000
08/10/2021,20.76286125,20.83099937,21.20599937,20.77499962,21.10099983,151258000
11/10/2021,20.62730408,20.69499969,21.06299973,20.51099968,20.57500076,163388000
12/10/2021,20.6033783,20.67099953,21.05699921,20.52799988,20.82799911,162134000
13/10/2021,20.87050056,20.93899918,20.98999977,20.71299934,20.91799927,180652000
14/10/2021,21.67486763,21.74600029,21.75499916,21.12199974,21.28800011,243589000
15/10/2021,21.79048729,21.86199951,21.93099976,21.66200066,21.80999947,226994000
18/10/2021,22.14931107,22.22200012,22.29100037,21.6439991,21.74900055,189494000
19/10/2021,22.2170887,22.29000092,22.37899971,22.03700066,22.27599907,161473000
20/10/2021,22.03069305,22.10300064,22.43300056,21.98200035,22.30500031,146276000
21/10/2021,22.61776924,22.69199944,22.71100044,22.08300018,22.09700012,187590000
22/10/2021,22.65165901,22.72599983,23.12999916,22.56100082,22.82299995,249384000
25/10/2021,23.09022141,23.16600037,23.35499954,22.77000046,22.97299957,230235000
26/10/2021,24.63614464,24.71699905,25.25900078,23.92399979,23.98900032,485898000
27/10/2021,24.37101746,24.45100021,25.09000015,24.28199959,24.47400093,245990000
28/10/2021,24.85941505,24.94099998,24.95000076,24.52300072,24.87800026,234204000
29/10/2021,25.48336029,25.56699944,25.70899963,25,25.00099945,292503000
01/11/2021,25.74251747,25.82699966,25.8939991,25.22699928,25.64900017,265740000
02/11/2021,26.31463432,26.40099907,26.6779995,25.79999924,25.8220005,294112000
03/11/2021,26.51099014,26.59799957,26.7840004,26.23500061,26.67000008,239910000
04/11/2021,29.7035141,29.8010006,31.36499977,27.11800003,27.22900009,1153631000
05/11/2021,29.65467072,29.75200081,31.39999962,29.40999985,30.18700027,851260000
08/11/2021,30.70323563,30.80400085,31.10000038,29.90699959,30.14900017,503101000
09/11/2021,30.5567131,30.65699959,32.31000137,29.9640007,32.2820015,646746000
10/11/2021,29.36263657,29.45899963,30.85000038,28.77799988,29.3560009,636206000
11/11/2021,30.29058456,30.38999939,30.59000015,29.77700043,30.46800041,332172000
12/11/2021,30.29058456,30.38999939,30.68000031,29.62999916,30.01000023,413054000
15/11/2021,29.92678261,30.02499962,30.6439991,29.24699974,30.55200005,384909000
16/11/2021,30.10419464,30.20299911,30.38999939,29.70599937,29.75900078,264484000
17/11/2021,29.1652813,29.26099968,30.50900078,28.79999924,30.41799927,428508000
18/11/2021,31.57138634,31.67499924,32.75999832,31.32099915,32.36700058,781711000
19/11/2021,32.87709808,32.98500061,33.08800125,31.90500069,32.24300003,533867000
22/11/2021,31.85146141,31.95599937,34.64699936,31.89999962,33.51699829,754335000
23/11/2021,31.64214897,31.74600029,32.36000061,30.87999916,31.53499985,532163000
24/11/2021,32.56711578,32.67399979,32.85499954,30.9279995,31.46100044,435162000
26/11/2021,31.39994621,31.50300026,32.70999908,31.35000038,32.59999847,283069000
29/11/2021,33.26681137,33.37599945,33.41199875,32.0359993,32.36600113,454964000
30/11/2021,32.56911087,32.67599869,33.35300064,31.86400032,33.16899872,622066000
01/12/2021,31.33600616,31.43499947,33.28900146,31.37999916,33.21900177,484368000
02/12/2021,32.02482986,32.12599945,32.47800064,31.02499962,31.2140007,472890000
03/12/2021,30.59634781,30.69300079,32.12900162,30.12999916,32,544325000
06/12/2021,29.94240379,30.03700066,30.24099922,28.03800011,29.87999916,658938000
07/12/2021,32.32487869,32.42699814,32.44900131,30.65099907,30.95700073,593053000
08/12/2021,31.72577477,31.82600021,32.29000092,31.42099953,31.99900055,475551000
09/12/2021,30.39398384,30.48999977,32.20500183,30.4279995,31.73399925,488507000
10/12/2021,30.10289955,30.19799995,31.30500031,29.86100006,31.14999962,488825000
13/12/2021,28.07231522,28.1609993,30.29400063,28.11599922,30.24900055,598344000
14/12/2021,28.24775505,28.33699989,28.6779995,27.25,27.6989994,667035000
15/12/2021,30.36307907,30.45899963,30.5,27.83799934,28.39999962,698297000
16/12/2021,28.29760742,28.38699913,31.15999985,28.09300041,31.15200043,707366000
17/12/2021,27.71344948,27.8010006,28.92200089,27.76000023,27.98500061,713758000
20/12/2021,27.63170624,27.71899986,28.1439991,27.14500046,27.30500031,461847000
21/12/2021,28.98343468,29.07500076,29.12000084,27.40099907,28.37400055,524385000
22/12/2021,29.3074131,29.39999962,29.55500031,28.4489994,28.89100075,395184000
23/12/2021,29.54665565,29.63999939,30.05900002,29.43099976,29.75499916,343022000
27/12/2021,30.84754562,30.94499969,31.08699989,29.63999939,29.65999985,403686000
28/12/2021,30.22650909,30.3220005,31.32999992,30.01199913,31.31200027,420591000
29/12/2021,29.90652275,30.00099945,30.54800034,29.36599922,30.27300072,343139000
30/12/2021,29.49282646,29.58600044,30.45700073,29.54000092,29.82699966,308864000
31/12/2021,29.31837845,29.4109993,30.03000069,29.33099937,29.67399979,266530000
03/01/2022,30.02614403,30.12100029,30.71100044,29.78499985,29.81500053,391547000
04/01/2022,29.19776154,29.29000092,30.46800041,28.34900093,30.27700043,527154000
05/01/2022,27.51707077,27.60400009,29.41600037,27.53300095,28.9489994,498064000
06/01/2022,28.08926201,28.1779995,28.43799973,27.06500053,27.63999939,454186000
07/01/2022,27.16118813,27.24699974,28.42200089,27.05699921,28.14100075,409939000
10/01/2022,27.31371307,27.39999962,27.46899986,25.6439991,26.58099937,594681000
11/01/2022,27.72939682,27.81699944,28.06500053,26.8390007,27.32299995,404089000
12/01/2022,27.91082764,27.99900055,28.59499931,27.6079998,28.06699944,383413000
13/01/2022,26.49131012,26.57500076,28.47999954,26.49799919,28.37899971,540171000
14/01/2022,26.85714912,26.94199944,27.1970005,26.20999908,26.29999924,395832000
18/01/2022,25.82142448,25.90299988,26.63800049,25.77000046,26.26000023,424270000
19/01/2022,24.98806,25.06699944,26.54299927,25.05200005,26.07900047,488315000
20/01/2022,24.073946,24.14999962,25.57900047,24.07799911,25.30400085,435181000
21/01/2022,23.30038643,23.37400055,24.82299995,23.26300049,23.50699997,718958000
24/01/2022,23.29839516,23.37199974,23.37999916,20.88800049,22.32999992,913982000
25/01/2022,22.25369644,22.3239994,22.94300079,22,22.54599953,664616000
26/01/2022,22.70028496,22.77199936,24.05699921,22.29999924,23.23999977,755959000
27/01/2022,21.874897,21.94400024,23.99500084,21.67499924,23.56800079,573353000
28/01/2022,22.76807213,22.84000015,22.8579998,21.29599953,22.01199913,543774000
31/01/2022,24.40889168,24.48600006,24.50900078,23.05200005,23.18199921,564680000
01/02/2022,24.56041336,24.63800049,25.14500046,23.88999939,25.10400009,518925000
02/02/2022,25.16250801,25.24200058,25.81699944,24.5529995,25.79400063,543419000
