Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
Date,Adj Close,Close,High,Low,Open,Volume
03/11/2021,169.1999969,169.1999969,169.7460022,164.8760071,165.4499969,67944000
04/11/2021,173.8500061,173.8500061,174.9315033,168.25,168.5,107060000
05/11/2021,175.9494934,175.9494934,178.3125,173.848999,173.8500061,99940000
08/11/2021,174.4490051,174.4490051,178.9499969,174.3930054,176.1620026,61480000
09/11/2021,178.8114929,178.8114929,179.6885071,175.0715027,175.7624969,85898000
10/11/2021,174.1024933,174.1024933,180.2725067,173.1544952,178.1934967,80548000
11/11/2021,173.625,173.625,177.1620026,173.3735046,175.6499939,45288000
12/11/2021,176.2575073,176.2575073,177.036499,172.3524933,174.25,53788000
15/11/2021,177.2839966,177.2839966,179.6940002,176.2904968,176.8500061,58594000
16/11/2021,177.0350037,177.0350037,178.8249969,176.2575073,176.9499969,44342000
17/11/2021,177.4499969,177.4499969,179.3625031,177.2675018,178.2359924,51206000
18/11/2021,184.8029938,184.8029938,185.2100067,178.0500031,178.3175049,114070000
19/11/2021,183.8285065,183.8285065,188.1074982,183.7859955,185.6345062,98734000
22/11/2021,178.6284943,178.6284943,185.6730042,178.375,183.8190002,96844000
23/11/2021,179.0019989,179.0019989,181.0525055,176.385498,179.2519989,73804000
24/11/2021,179.0204926,179.0204926,180.6820068,176.8424988,178.1334991,46560000
26/11/2021,175.2279968,175.2279968,181.6750031,175.2075043,180.1049957,59826000
29/11/2021,178.0785065,178.0785065,179.8000031,176.5749969,177.3820038,65312000
30/11/2021,175.3535004,175.3535004,179.2884979,174.6004944,178.1750031,80022000
01/12/2021,172.1860046,172.1860046,177.9940033,172.0800018,177.25,74916000
02/12/2021,171.8679962,171.8679962,174.6349945,171.1875,173,64726000
03/12/2021,169.489502,169.489502,173.4934998,166.9299927,172.75,80712000
06/12/2021,171.3684998,171.3684998,173.6954956,166.934494,169.6499939,68860000
07/12/2021,176.164505,176.164505,177.4994965,173.3345032,174.6000061,66410000
08/12/2021,176.1580048,176.1580048,177.1799927,174.7505035,176.1504974,45254000
09/12/2021,174.1710052,174.1710052,176.9694977,174.1394958,175.75,46062000
10/12/2021,172.2120056,172.2120056,175.927002,170.5,175.4170074,60690000
13/12/2021,169.5675049,169.5675049,172.1000061,169.1300049,172,62170000
14/12/2021,169.091507,169.091507,169.4989929,166.4400024,167.5500031,55976000
15/12/2021,173.3150024,173.3150024,173.6000061,165.1950073,168.5980072,75794000
16/12/2021,168.8710022,168.8710022,174.1660004,168.1605072,173.3684998,60876000
17/12/2021,170.0175018,170.0175018,170.8984985,165.6134949,167.710495,85542000
20/12/2021,167.0789948,167.0789948,167.8744965,165.6000061,166.8500061,57372000
21/12/2021,170.4170074,170.4170074,170.716507,165.6475067,167.8504944,55956000
22/12/2021,171.0370026,171.0370026,172.0500031,168.5005035,169.2700043,55036000
23/12/2021,171.0684967,171.0684967,171.9750061,170.1499939,170.4279938,36788000
27/12/2021,169.6694946,169.6694946,172.9429932,169.2154999,171.0370026,58688000
28/12/2021,170.6609955,170.6609955,172.1759949,169.135498,170.1824951,54638000
29/12/2021,169.201004,169.201004,171.2120056,168.6004944,170.8399963,35754000
30/12/2021,168.6445007,168.6445007,170.8880005,168.5240021,169.6999969,37584000
31/12/2021,166.7169952,166.7169952,169.3500061,166.5585022,168.9559937,47830000
03/01/2022,170.4044952,170.4044952,170.7035065,166.1605072,167.5500031,63520000
04/01/2022,167.5220032,167.5220032,171.3999939,166.3495026,170.4380035,70726000
05/01/2022,164.3569946,164.3569946,167.1264954,164.3569946,166.8829956,64302000
06/01/2022,163.2539978,163.2539978,164.8000031,161.9369965,163.4505005,51958000
07/01/2022,162.5540009,162.5540009,165.2434998,162.0310059,163.8390045,46606000
10/01/2022,161.4859924,161.4859924,161.661499,156.3045044,160.585495,87798000
11/01/2022,165.3619995,165.3619995,166.3500061,160.7015076,161.5,62806000
12/01/2022,165.2070007,165.2070007,166.878006,164.4170074,166.5749969,50030000
13/01/2022,161.2140045,161.2140045,166.2214966,161.0910034,165.2505035,52188000
14/01/2022,162.1380005,162.1380005,162.25,159.8005066,160.1499939,45974000
18/01/2022,158.9174957,158.9174957,159.7344971,157.664505,159.1049957,67292000
19/01/2022,156.298996,156.298996,159.25,156.25,158.7619934,53242000
20/01/2022,151.6674957,151.6674957,158,151.3509979,156.7660065,71974000
21/01/2022,142.6430054,142.6430054,150.8999939,142.0704956,149.9499969,163972000
24/01/2022,144.5440063,144.5440063,144.9450073,135.352005,139,155624000
25/01/2022,139.9859924,139.9859924,143.6000061,138.1450043,142.2424927,90824000
26/01/2022,138.8724976,138.8724976,145.1849976,137.3184967,144.75,95602000
27/01/2022,139.6374969,139.6374969,144.2434998,139.3500061,140.8000031,77516000
28/01/2022,143.9779968,143.9779968,143.9980011,137.9295044,140.8605042,74392000
31/01/2022,149.5735016,149.5735016,150.3605042,144.3005066,144.75,78308000
01/02/2022,151.1934967,151.1934967,151.7079926,147.6275024,150,59220000
02/02/2022,150.6125031,150.6125031,155.0749969,148.8634949,155.0505066,87330000
03/02/2022,138.8455048,138.8455048,144.2474976,138.3329926,141.7375031,225532000
04/02/2022,157.6394958,157.6394958,161.1999969,150.6080017,155.6065063,253456000
07/02/2022,157.9355011,157.9355011,162.6909943,157.25,158.5200043,102624000
08/02/2022,161.4134979,161.4134979,161.7924957,155.5505066,156.7505035,76040000
09/02/2022,161.1894989,161.1894989,163.8345032,160.25,162.8735046,68786000
10/02/2022,159.0034943,159.0034943,160.716507,157.75,158.3500061,68268000
11/02/2022,153.2935028,153.2935028,159,152.7339935,158.1345062,77100000
14/02/2022,155.1670074,155.1670074,158.4485016,151.6499939,151.7510071,83230000
15/02/2022,156.510498,156.510498,158.0070038,154.6374969,157.6054993,56440000
16/02/2022,158.1004944,158.1004944,158.8339996,154.7344971,155.7904968,52704000
17/02/2022,154.6524963,154.6524963,160.348999,154.5,158.1459961,64032000
18/02/2022,152.6015015,152.6015015,155.4994965,150.8930054,155.4994965,63604000
22/02/2022,150.1974945,150.1974945,152.9824982,148.4855042,150.4785004,66128000
23/02/2022,144.8269958,144.8269958,151.7630005,144.651001,151.6504974,64244000
24/02/2022,151.3580017,151.3580017,151.7489929,139.5,139.8374939,100786000
25/02/2022,153.7884979,153.7884979,153.9900055,149.213501,150.5500031,62396000
28/02/2022,153.5630035,153.5630035,154.4499969,150.8500061,152.4250031,57684000
01/03/2022,151.1419983,151.1419983,154.098999,149.977005,152.7324982,44874000
02/03/2022,152.0525055,152.0525055,152.9994965,148.75,150.848999,47334000
03/03/2022,147.8984985,147.8984985,153.9290009,146.8560028,153.5314941,65198000
04/03/2022,145.6410065,145.6410065,147.8500061,143.8070068,147.1589966,60934000
07/03/2022,137.4530029,137.4530029,146.0944977,137.4165039,145.4434967,86934000
08/03/2022,136.0144958,136.0144958,140.6994934,133.5724945,136.6835022,91662000
09/03/2022,139.279007,139.279007,140.25,136.8280029,139.5,82656000
10/03/2022,146.8175049,146.8175049,148.6744995,143.9779968,145.6849976,135062000
11/03/2022,145.5245056,145.5245056,149.6750031,145.3690033,149.5744934,68900000
14/03/2022,141.8529968,141.8529968,147.4499969,140.8840027,145.9810028,74086000
15/03/2022,147.3665009,147.3665009,147.9850006,142,142.8500061,75584000
16/03/2022,153.1040039,153.1040039,153.1499939,147.3535004,148.5,84958000
17/03/2022,157.2389984,157.2389984,157.4985046,152.1399994,152.6405029,72934000
18/03/2022,161.2505035,161.2505035,161.5939941,156.0110016,156.8130035,102962000
21/03/2022,161.4915009,161.4915009,163.0839996,159.5529938,161.1210022,66538000
22/03/2022,164.8890076,164.8890076,166.1670074,161.6990051,161.8054962,64086000
23/03/2022,163.4080048,163.4080048,166.3699951,162.6869965,163.7050018,55812000
24/03/2022,163.6495056,163.6495056,164.1184998,160.0500031,163.7494965,56798000
25/03/2022,164.7734985,164.7734985,165.3684998,162.25,164,49032000
28/03/2022,168.9904938,168.9904938,169.0375061,164.8999939,164.9750061,59854000
29/03/2022,169.3150024,169.3150024,170.8314972,167.8684998,170.3840027,66154000
30/03/2022,166.3009949,166.3009949,168.9505005,165.5,168.5095062,56168000
31/03/2022,162.9974976,162.9974976,166.4949951,162.9535065,166.4450073,59966000
01/04/2022,163.5599976,163.5599976,165.8269958,162.3195038,164.1495056,57090000
04/04/2022,168.3464966,168.3464966,168.3945007,163.2055054,164.125,49882000
05/04/2022,164.0549927,164.0549927,168.1105042,163.2660065,167.7415009,53728000
06/04/2022,158.7559967,158.7559967,162.1999969,157.2545013,161.6504974,79056000
07/04/2022,157.7845001,157.7845001,160.0789948,154.5115051,158.3999939,68136000
08/04/2022,154.460495,154.460495,157.3684998,154.2310028,156.75,46002000
11/04/2022,151.121994,151.121994,154.1365051,150.5345001,152.7129974,52112000
12/04/2022,150.7875061,150.7875061,155.098999,150.3829956,153.6925049,55178000
