Price,Adj Close,Close,High,Low,Open,Volume
Ticker,XOM,XOM,XOM,XOM,XOM,XOM
Date,Adj Close,Close,High,Low,Open,Volume
23/08/2021,46.08195877,54.90999985,55.06000137,53.95000076,53.95000076,21632600
24/08/2021,46.45962143,55.36000061,55.84999847,55.00999832,55.29000092,17915600
25/08/2021,46.54354095,55.45999908,55.77000046,54.86999893,55.24000168,13270300
26/08/2021,45.91411972,54.70999908,55.54000092,54.63000107,55.20000076,11842600
27/08/2021,46.80370331,55.77000046,56.20999908,55.40000153,55.40000153,15822500
30/08/2021,46.29177475,55.15999985,56.34000015,55.11999893,56.24000168,14086100
31/08/2021,45.75466156,54.52000046,55.31000137,54.45999908,54.93000031,27104100
01/09/2021,45.12523651,53.77000046,54.75999832,53.59999847,54.49000168,21644100
02/09/2021,46.22463608,55.08000183,55.63999939,54.27000046,54.29000092,23293300
03/09/2021,46.04839706,54.86999893,55.31999969,54.59999847,55.11999893,13840000
07/09/2021,45.77983856,54.54999924,55.27000046,54.47000122,54.66999817,14354400
08/09/2021,45.36023331,54.04999924,55.18000031,54.00999832,54.79000092,18756700
09/09/2021,45.39379501,54.09000015,55,53.29999924,53.61999893,19110800
10/09/2021,45.30148697,53.97999954,55.22999954,53.95000076,55.18999863,15123700
13/09/2021,46.46801376,55.36999893,55.93000031,54.61999893,54.65000153,22052300
14/09/2021,45.80503082,54.58000183,55.77000046,54.40999985,55.68999863,19940300
15/09/2021,47.34919739,56.41999817,56.52999878,55.31000137,55.36999893,23240900
16/09/2021,46.84566116,55.81999969,56.45999908,55.5,56.45999908,17907200
17/09/2021,46.29177475,55.15999985,56.75,55.09999847,55.34000015,30000400
20/09/2021,45.05810547,53.68999863,54.16999817,52.95999908,53.77999878,27555100
21/09/2021,45.01613998,53.63999939,54.50999832,53.25,54.36999893,19696800
22/09/2021,46.33372879,55.20999908,55.90999985,54.36999893,54.43000031,25690600
23/09/2021,47.90308762,57.08000183,57.24000168,55.27999878,55.41999817,23069400
24/09/2021,48.33110046,57.59000015,57.81999969,56.68000031,56.70000076,22328600
27/09/2021,49.76616287,59.29999924,59.79999924,58.81999969,58.84999847,32972200
28/09/2021,50.28649521,59.91999817,60.47999954,59.50999832,59.90000153,37619300
29/09/2021,50.25292587,59.88000107,60.18999863,59.04999924,59.84000015,23422800
30/09/2021,49.3633461,58.81999969,60.16999817,58.81000137,60.11999893,31289600
01/10/2021,51.13411331,60.93000031,60.99000168,59.40999985,59.40999985,24407300
04/10/2021,51.79709625,61.72000122,62.06999969,60.95000076,61.31999969,33946700
05/10/2021,51.71317673,61.61999893,62.70000076,61.02000046,62.52000046,29641600
06/10/2021,50.7648468,60.49000168,61.11999893,59.75,60.47000122,25284900
07/10/2021,50.90751266,60.65999985,61.08000183,60.13999939,60.61000061,19513600
08/10/2021,52.1831398,62.18000031,62.41999817,61.25,61.25,22186900
11/10/2021,51.66282654,61.56000137,63.06000137,61.5,63.02999878,22121500
12/10/2021,51.39427185,61.24000168,61.97999954,60.84999847,61.56999969,20198600
13/10/2021,51.25160599,61.06999969,61.38999939,60.20999908,60.77999878,14991700
14/10/2021,52.03207779,62,62.22000122,61.16999817,61.70999908,18594500
15/10/2021,52.52723312,62.59000015,63.06999969,62.43999863,62.72999954,16092600
18/10/2021,52.50204468,62.56000137,63.13999939,62.27000046,63.09000015,18282800
19/10/2021,53.29092026,63.5,63.61000061,62.66999817,62.86999893,18933200
20/10/2021,53.58465195,63.84999847,63.86999893,62.72000122,62.88999939,14305200
21/10/2021,52.61115265,62.68999863,63.63999939,62.34999847,63.47000122,16564600
22/10/2021,52.9720192,63.11999893,63.22000122,62.34999847,62.77000046,14266800
25/10/2021,54.00426865,64.34999847,64.41999817,63.58000183,63.72000122,17939800
26/10/2021,55.25471497,65.83999634,65.94000244,64.36000061,64.48999786,25585100
27/10/2021,53.81964111,64.12999725,65.25,63.97999954,65.16000366,21764500
28/10/2021,53.97069168,64.30999756,64.47000122,63.63000107,63.81999969,16626400
29/10/2021,54.10497284,64.47000122,65.36000061,64.33000183,65.05000305,23966300
01/11/2021,55.07848358,65.62999725,66.08000183,65.01999664,65.06999969,19656400
