Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,Adj Close,Close,High,Low,Open,Volume
12/10/2021,281.0849915,292.8800049,295.4400024,292.3500061,295.3399963,17974100
13/10/2021,284.3768005,296.3099976,297.2799988,293.4899902,294.9100037,23416300
14/10/2021,290.557373,302.75,303.269989,297.8299866,299.2099915,27262900
15/10/2021,291.9586792,304.2099915,304.4500122,300.519989,302.3399963,25384800
18/10/2021,294.9146118,307.2900085,308.2099915,302.6900024,303.5700073,22729300
19/10/2021,295.8167725,308.230011,309.2999878,307.2200012,308.3500061,17682100
20/10/2021,295.0297546,307.4100037,309.7000122,306.1099854,309.2099915,16537100
21/10/2021,298.244873,310.7600098,311.019989,306.3599854,307.1700134,16918100
22/10/2021,296.709259,309.1600037,311.0899963,307.7999878,310.3999939,17449300
25/10/2021,295.7207336,308.1300049,309.3999939,306.4599915,309.3599854,17554500
26/10/2021,297.6210022,310.1099854,312.3999939,308.6000061,311,28107300
27/10/2021,310.1550903,323.1700134,326.1000061,316,316,52588700
28/10/2021,311.2875061,324.3500061,324.8699951,321.3599854,324.3299866,26297900
29/10/2021,318.264801,331.6199951,332,323.8999939,324.1300049,34766000
01/11/2021,316.1054382,329.3699951,331.4899902,326.3699951,331.3599854,27073200
02/11/2021,319.7138977,333.1300049,333.4500122,330,330.3099976,26487100
03/11/2021,320.5488892,334,334.8999939,330.6499939,333.8999939,21500100
04/11/2021,322.890625,336.4400024,336.5400085,329.5100098,332.8900146,23992200
05/11/2021,322.5259705,336.0599976,338.7900085,334.4200134,338.5100098,22570100
08/11/2021,323.418457,336.9899902,337.6499939,334.4400024,337.2999878,20897000
09/11/2021,322.4204102,335.9500122,338.7200012,334.5299988,337.1099854,21307400
10/11/2021,317.4777222,330.7999878,334.6300049,329.9200134,334.5700073,25500900
11/11/2021,319.0422058,332.4299927,333.769989,330.5100098,331.25,16849800
